Time (s),Setpoint (turns),Encoder Position (turns)
5.626678466796875e-05,1.0316505328591137,5.960464477539062e-07
0.016591548919677734,1.0677208248315309,0.0759696364402771
0.033118247985839844,1.1037480013993168,0.20752078294754028
0.04920148849487305,1.138761947198742,0.35300105810165405
0.06516790390014648,1.1734539188074975,0.5013754367828369
0.08112597465515137,1.2080385651691423,0.6529015898704529
0.09714412689208984,1.2426418623653266,0.8027796745300293
0.11312127113342285,1.2770234562811404,0.9360767602920532
0.12911558151245117,1.3112871157270711,1.0428699254989624
0.14512157440185547,1.3453990268079379,1.1225152015686035
0.16112112998962402,1.379298944945482,1.1848337650299072
0.17712092399597168,1.4129797157082096,1.2377185821533203
0.1931142807006836,1.446406156667417,1.2853491306304932
0.20911812782287598,1.4795924320301537,1.326097011566162
0.22511720657348633,1.512485804746513,1.3675713539123535
0.24112653732299805,1.545096210253637,1.4045838117599487
0.25711822509765625,1.5773464625820788,1.4394583702087402
0.273120641708374,1.609273607767616,1.4756145477294922
0.28911614418029785,1.6408221707771575,1.5108660459518433
0.30512118339538574,1.6720045684246514,1.5425434112548828
0.3211188316345215,1.7027680559743625,1.5739740133285522
0.33712315559387207,1.733120267795403,1.6088992357254028
0.3531510829925537,1.7630728724795826,1.6399742364883423
0.3691539764404297,1.792516115917768,1.670373558998108
0.38514137268066406,1.8214507202655474,1.7010948657989502
0.4011385440826416,1.8499044088777699,1.732631802558899
0.41713690757751465,1.8778434381475153,1.7639433145523071
0.43314242362976074,1.9052601555870328,1.7915016412734985
0.4491283893585205,1.9320921539180962,1.81887686252594
0.46514415740966797,1.9584047570075778,1.850965976715088
0.4811744689941406,1.9841538599602118,1.8788868188858032
0.4971346855163574,2.0091903689621478,1.9053173065185547
0.5131347179412842,2.0336725766009858,1.930532455444336
0.5291268825531006,2.0575102360211592,1.9579068422317505
0.5451252460479736,2.0807093590233334,1.9850738048553467
0.5611212253570557,2.103242623517244,2.011603355407715
0.5771329402923584,2.12512047335996,2.0343828201293945
0.5931236743927002,2.1462792722631274,2.0548689365386963
0.6091248989105225,2.166747971228239,2.0804033279418945
0.6251254081726074,2.18649866435622,2.105839490890503
0.6411306858062744,2.2055253652959994,2.1267123222351074
0.6571218967437744,2.2237943141321477,2.1456000804901123
0.6731348037719727,2.24133427870405,2.165487766265869
0.6891303062438965,2.258091057219285,2.1845455169677734
0.7051417827606201,2.2740891181709832,2.205042600631714
0.7211332321166992,2.2892826921859726,2.224336862564087
0.7371432781219482,2.3036989704610447,2.2443923950195312
0.7531378269195557,2.3172979249450973,2.2609703540802
0.769134521484375,2.3300869733955976,2.2746477127075195
0.7851259708404541,2.3420523734535723,2.2868728637695312
0.8011326789855957,2.3532011335939766,2.2983460426330566
0.8171265125274658,2.3635064387093494,2.312452554702759
0.8331344127655029,2.3729790383072746,2.329836368560791
0.8491284847259521,2.3815964290925784,2.3457765579223633
0.8651347160339355,2.3893672973761557,2.3581936359405518
0.8811297416687012,2.396275318918518,2.366560935974121
0.8971278667449951,2.4023229604772016,2.3721609115600586
0.9131224155426025,2.407503919890937,2.376913070678711
0.9291224479675293,2.4118177045906695,2.3819570541381836
0.9451422691345215,2.415263381295473,2.388014316558838
0.9612107276916504,2.4178393596059804,2.3950037956237793
0.9771645069122314,2.4195232552794197,2.4021120071411133
0.9931564331054688,2.420336417946798,2.407830238342285
1.0091633796691895,2.4202727930615135,2.411881923675537
1.0251421928405762,2.4193336700013828,2.4145405292510986
1.0411498546600342,2.4175162348645656,2.416095018386841
1.057157278060913,2.4148225877790837,2.4166016578674316
1.073143720626831,2.41125965938581,2.4165000915527344
1.0891361236572266,2.4068249242116084,2.4162983894348145
1.1051366329193115,2.401519439261726,2.415896415710449
1.1211307048797607,2.395351239285943,2.4152042865753174
1.1371586322784424,2.3883064688400566,2.4139633178710938
1.153132677078247,2.380429743133582,2.4120986461639404
1.1691327095031738,2.371688898893388,2.409522771835327
1.1851387023925781,2.3620978481942525,2.405977964401245
1.2011358737945557,2.351671731231353,2.4008255004882812
1.2171249389648438,2.340417993329739,2.3943183422088623
1.2331299781799316,2.3283261835710896,2.3860301971435547
1.24912691116333,2.3154215176139585,2.3750054836273193
1.2651326656341553,2.3016984423595073,2.3621973991394043
1.2811264991760254,2.287183638207365,2.352222204208374
1.2971298694610596,2.2718669841880907,2.343677043914795
1.3131310939788818,2.2557687861443543,2.3329038619995117
1.3291349411010742,2.238894384815945,2.320906639099121
1.3451299667358398,2.2212669481471123,2.3080174922943115
1.361131191253662,2.202881247206881,2.2915987968444824
1.3771276473999023,2.1837613895561434,2.2694344520568848
1.3931357860565186,2.163899321132915,2.2483315467834473
1.4091341495513916,2.143334076341935,2.2309834957122803
1.4251396656036377,2.122057071254786,2.2152934074401855
1.4411861896514893,2.1000336358758207,2.1961283683776855
1.4571459293365479,2.077455959611592,2.1757445335388184
1.4731526374816895,2.054151638181931,2.152756452560425
1.4891242980957031,2.0302540006242156,2.1288509368896484
1.5051462650299072,2.0056495510059227,2.104888677597046
1.5211429595947266,1.9804683953420923,2.082716941833496
1.5371437072753906,1.9546815094988357,2.0614686012268066
1.5531511306762695,1.9283003641698189,2.0381858348846436
1.569244384765625,1.901206280998193,2.0087361335754395
1.585191011428833,1.8738108452130833,1.9823832511901855
1.6011803150177002,1.845811524303692,1.9581472873687744
1.6171705722808838,1.8172968561282778,1.931898832321167
1.6331560611724854,1.788295206681445,1.904151201248169
1.6491432189941406,1.7588133313575085,1.87424898147583
1.6651477813720703,1.7288399858963313,1.8450638055801392
