timestamp,motor_commanded_torque,motor_encoder_torque,motor_encoder_torque_target,motor_encoder_angle,motor_encoder_velocity,imu_dt,imu_dthetax,imu_dthetay,imu_dthetaz,imu_dvelx,imu_dvely,imu_dvelz,imu_ang_velx,imu_ang_vely,imu_ang_velz,imu_lin_accelx,imu_lin_accely,imu_lin_accelz,ins_theta,ins_phi,ins_psi
2000,0,-0.943035,-0.832532,-0.674073,-0.000654702,0.014,-3.8082e-06,-3.20448e-05,1.23167e-05,0.13405,-0.00669687,-0.0271799,-0.000272015,-0.00228891,0.000879764,9.57502,-0.478348,-1.94142,0.235829,1.36431,-3.01238
2100,0,-0.943035,-0.833273,-0.674073,-0.00295693,0.014,-2.03996e-06,-3.20026e-05,4.33835e-06,0.134089,-0.00660166,-0.0270665,-0.000145711,-0.0022859,0.000309882,9.57778,-0.471547,-1.93332,0.235825,1.36429,-3.0124
2200,0,-0.943035,-0.833767,-0.674069,-0.00195855,0.014,5.24469e-06,-2.52336e-05,1.31759e-05,0.133988,-0.00648976,-0.0270485,0.000374621,-0.0018024,0.000941132,9.57054,-0.463554,-1.93203,0.236009,1.36433,-3.01223
2300,0,-0.943035,-0.833032,-0.67407,-0.00239813,0.014,-4.21879e-06,-3.30886e-05,1.60683e-05,0.133954,-0.00663494,-0.0269655,-0.000301342,-0.00236347,0.00114774,9.56818,-0.473924,-1.92611,0.236132,1.36434,-3.01212
2400,0,-0.943035,-0.832801,-0.674073,-0.00163071,0.014,-6.17138e-06,-2.29506e-05,1.23963e-05,0.134109,-0.00675957,-0.0270871,-0.000440813,-0.00163933,0.00088545,9.57922,-0.482826,-1.93479,0.236043,1.36435,-3.01222
2500,0,-0.943035,-0.833769,-0.674073,-0.00275202,0.014,-1.04834e-05,-3.29739e-05,-5.4161e-06,0.134086,-0.00653116,-0.026951,-0.000748814,-0.00235528,-0.000386864,9.57756,-0.466511,-1.92507,0.235989,1.36437,-3.01228
2600,0,-0.943035,-0.833107,-0.674058,0.0063675,0.014,-1.14106e-05,-1.56704e-05,-1.2145e-06,0.133963,-0.0067351,-0.0268659,-0.000815045,-0.00111931,-8.67497e-05,9.56878,-0.481079,-1.919,0.235896,1.36437,-3.01238
2700,0,-0.943035,-0.832908,-0.674071,-0.00120602,0.014,3.79597e-09,-3.12204e-05,1.39061e-05,0.134058,-0.00666446,-0.0268722,2.71141e-07,-0.00223003,0.00099329,9.57556,-0.476033,-1.91944,0.235916,1.36434,-3.01234
2802,0,-0.943035,-0.833125,-0.674072,-0.00160089,0.014,3.45206e-06,-2.65948e-05,1.44181e-05,0.134142,-0.00662659,-0.0271474,0.000246576,-0.00189963,0.00102986,9.58158,-0.473328,-1.9391,0.235863,1.36439,-3.01241
2900,0,-0.943035,-0.833046,-0.67407,-0.0032959,0.014,5.98718e-06,-2.85659e-05,1.39826e-05,0.134121,-0.00655478,-0.0270998,0.000427656,-0.00204042,0.000998755,9.58005,-0.468199,-1.9357,0.23584,1.3644,-3.01245
3000,0,-0.943035,-0.834266,-0.674072,-0.000114491,0.014,1.84292e-07,-1.51703e-05,1.45773e-05,0.134083,-0.0064382,-0.0271087,1.31637e-05,-0.0010836,0.00104123,9.57734,-0.459871,-1.93634,0.235903,1.36437,-3.01242
3101,0,-0.943035,-0.834262,-0.674071,-0.00223045,0.014,-5.7042e-06,-3.34928e-05,1.48884e-05,0.133994,-0.00660963,-0.0271802,-0.000407442,-0.00239234,0.00106346,9.57098,-0.472116,-1.94144,0.235883,1.36438,-3.01243
3201,0,-0.943035,-0.833081,-0.674055,0.00572677,0.014,-3.96391e-06,-4.19921e-05,3.07256e-07,0.133993,-0.0067599,-0.027167,-0.000283136,-0.00299943,2.19469e-05,9.57095,-0.48285,-1.9405,0.235777,1.36432,-3.01256
3300,0,-0.943035,-0.833181,-0.67407,-0.00202555,0.014,-1.30024e-06,-3.862e-05,1.32835e-05,0.133974,-0.00665768,-0.0272176,-9.28746e-05,-0.00275857,0.00094882,9.56956,-0.475549,-1.94411,0.23587,1.36432,-3.01247
3400,0,-0.943035,-0.834074,-0.674072,-0.00159341,0.014,5.43677e-06,-2.65034e-05,1.10134e-05,0.134033,-0.00666663,-0.0271978,0.000388341,-0.0018931,0.00078667,9.57378,-0.476188,-1.9427,0.23591,1.36426,-3.01244
3500,0,-0.943035,-0.833204,-0.67407,-0.00279295,0.014,7.77805e-06,-3.13284e-05,4.16724e-07,0.134032,-0.00662909,-0.0271433,0.000555575,-0.00223774,2.9766e-05,9.57374,-0.473506,-1.93881,0.235815,1.36427,-3.01255
3600,0,-0.943035,-0.833221,-0.674069,-0.000866977,0.014,-4.20526e-06,-2.08262e-05,1.18636e-05,0.134065,-0.0068062,-0.0273185,-0.000300375,-0.00148759,0.000847403,9.57606,-0.486157,-1.95132,0.235758,1.3643,-3.01259
3701,0,-0.943035,-0.833553,-0.674068,-0.00173497,0.014,2.58145e-06,-3.26116e-05,1.17661e-05,0.134133,-0.00643836,-0.0271757,0.000184389,-0.0023294,0.000840438,9.5809,-0.459883,-1.94112,0.235735,1.36426,-3.0126
3800,0,-0.943035,-0.833365,-0.674059,0.000291597,0.014,-7.00681e-06,-3.63197e-05,-5.12505e-06,0.134047,-0.00646124,-0.0271818,-0.000500487,-0.00259426,-0.000366075,9.57476,-0.461517,-1.94155,0.235697,1.36428,-3.01259
3900,0,-0.943035,-0.833559,-0.674067,0.000973331,0.014,6.89682e-06,-2.70028e-05,1.67895e-05,0.134032,-0.00661073,-0.0271562,0.00049263,-0.00192877,0.00119925,9.57368,-0.472195,-1.93973,0.235575,1.36427,-3.01275
4000,0,-0.943035,-0.833291,-0.674073,-0.00361995,0.014,4.74358e-07,-1.91509e-05,7.29176e-06,0.134027,-0.00685369,-0.0271955,3.38827e-05,-0.00136792,0.00052084,9.57337,-0.489549,-1.94253,0.235409,1.36429,-3.01293
4100,0,-0.943035,-0.83386,-0.674072,-0.000304435,0.014,8.71926e-06,-1.73045e-05,1.47219e-05,0.134087,-0.00659315,-0.0270988,0.000622804,-0.00123603,0.00105156,9.57765,-0.470939,-1.93563,0.235626,1.36425,-3.01273
4200,0,-0.943035,-0.833004,-0.674067,-0.00027835,0.014,4.01498e-06,-3.8353e-06,3.54898e-05,0.13403,-0.00663297,-0.0271181,0.000286784,-0.00027395,0.00253499,9.57354,-0.473784,-1.93701,0.235764,1.36424,-3.01258
4300,0,-0.943035,-0.832756,-0.674061,0.00470982,0.014,-4.17642e-07,-1.34014e-05,2.81314e-05,0.134011,-0.00676658,-0.0272042,-2.98316e-05,-0.000957242,0.00200938,9.57219,-0.483327,-1.94315,0.235782,1.36423,-3.01256
4400,0,-0.943035,-0.833477,-0.674057,0.00531332,0.014,-1.05975e-05,-1.07859e-05,9.18154e-06,0.134019,-0.00657605,-0.027108,-0.000756965,-0.000770424,0.000655824,9.57279,-0.469718,-1.93628,0.235691,1.36421,-3.01263
4500,0,-0.943035,-0.833116,-0.674073,-0.00192864,0.014,-1.33283e-05,-1.69822e-05,8.97873e-06,0.134097,-0.00660049,-0.0271,-0.000952022,-0.00121302,0.000641337,9.57834,-0.471463,-1.93571,0.23582,1.36421,-3.01247
4600,0,-0.943035,-0.833986,-0.674073,-0.00265879,0.014,-1.57335e-05,-2.69381e-05,1.89205e-05,0.134074,-0.00653177,-0.0272213,-0.00112382,-0.00192415,0.00135147,9.5767,-0.466555,-1.94438,0.235919,1.36421,-3.01235
4700,0,-0.943035,-0.832995,-0.674071,-0.00377637,0.014,-6.20585e-06,1.74053e-06,1.55409e-05,0.133968,-0.00682897,-0.0272999,-0.000443275,0.000124324,0.00111006,9.56916,-0.487784,-1.94999,0.235802,1.36425,-3.01242
4800,0,-0.943035,-0.83322,-0.674073,-0.00280407,0.014,-6.85797e-06,-8.08151e-06,2.88971e-05,0.13411,-0.00637908,-0.0272905,-0.000489855,-0.00057725,0.00206408,9.57928,-0.455649,-1.94932,0.23597,1.36425,-3.01222
4900,0,-0.943035,-0.833153,-0.674072,-3.24454e-05,0.014,8.10445e-06,-4.69848e-06,1.4122e-05,0.134206,-0.00634219,-0.0275024,0.000578889,-0.000335606,0.00100872,9.58614,-0.453013,-1.96446,0.236017,1.36432,-3.01222
5002,0,-0.943035,-0.832867,-0.674069,-0.0014853,0.014,1.08633e-05,-1.60428e-05,2.01879e-05,0.13411,-0.00634241,-0.0273717,0.00077595,-0.00114592,0.00144199,9.57927,-0.453029,-1.95512,0.235982,1.36429,-3.01225
5100,0,-0.943035,-0.832406,-0.674073,-0.0019286,0.014,7.8452e-06,-1.6565e-05,1.20205e-05,0.134013,-0.00651326,-0.0274315,0.000560372,-0.00118322,0.000858605,9.57235,-0.465233,-1.95939,0.235952,1.3643,-3.01227
5200,0,-0.943035,-0.832807,-0.674065,0.000243251,0.014,-1.49122e-05,-3.3678e-05,1.2168e-05,0.134032,-0.00673409,-0.0272707,-0.00106515,-0.00240557,0.000869145,9.57371,-0.481006,-1.94791,0.235985,1.3643,-3.01216
5300,0,-0.943035,-0.833697,-0.674062,-0.00081473,0.014,-1.33063e-06,-2.0037e-05,1.90799e-05,0.13416,-0.00671554,-0.0271263,-9.50449e-05,-0.00143121,0.00136285,9.58286,-0.479682,-1.93759,0.235876,1.36432,-3.01225
5400,0,-0.943035,-0.832795,-0.674071,-0.00373536,0.014,-1.89563e-06,-3.62662e-05,2.18614e-05,0.134102,-0.0065211,-0.0271,-0.000135402,-0.00259044,0.00156153,9.57875,-0.465793,-1.93572,0.235918,1.36428,-3.0122
5500,0,-0.943035,-0.833685,-0.67407,-0.00372418,0.014,2.25533e-06,-2.92681e-05,1.73827e-05,0.134179,-0.00647527,-0.0271838,0.000161095,-0.00209058,0.00124162,9.58419,-0.462519,-1.9417,0.235873,1.36425,-3.01225
5600,0,-0.943035,-0.832733,-0.674073,-0.000505517,0.014,5.41312e-06,-2.11479e-05,8.56485e-06,0.134155,-0.00651332,-0.027058,0.000386652,-0.00151057,0.000611775,9.58252,-0.465237,-1.93271,0.235872,1.36426,-3.01225
5700,0,-0.943035,-0.83287,-0.674069,-0.00353045,0.014,-1.34649e-05,-1.26343e-05,1.2186e-05,0.134069,-0.00658969,-0.0270808,-0.000961777,-0.000902451,0.000870427,9.57638,-0.470692,-1.93434,0.236044,1.36431,-3.01204
5800,0,-0.943035,-0.833062,-0.674049,0.00737348,0.014,2.01948e-06,-3.56026e-05,2.21104e-05,0.134085,-0.00661396,-0.0271117,0.000144249,-0.00254304,0.00157931,9.57751,-0.472426,-1.93655,0.23608,1.36429,-3.01203
5900,0,-0.943035,-0.834111,-0.674073,-0.00208503,0.014,1.66578e-05,-2.35502e-05,1.01828e-05,0.134081,-0.00652647,-0.0271621,0.00118984,-0.00168216,0.000727343,9.57722,-0.466177,-1.94015,0.236156,1.36429,-3.012
6000,0,-0.943035,-0.833117,-0.674068,-0.00486036,0.014,1.41762e-05,-1.71158e-05,2.00945e-05,0.134115,-0.00659851,-0.0271443,0.00101258,-0.00122256,0.00143532,9.57967,-0.471322,-1.93888,0.236178,1.3643,-3.01197
6100,0,-0.943035,-0.833692,-0.674061,0.00158812,0.014,-2.50566e-06,-2.42485e-05,1.02877e-05,0.134154,-0.0066257,-0.0272305,-0.000178976,-0.00173203,0.000734838,9.58242,-0.473264,-1.94503,0.236181,1.36434,-3.01197
6201,0,-0.943035,-0.833096,-0.67407,-0.00244636,0.014,-5.08128e-06,-2.1927e-05,1.33558e-05,0.134073,-0.00659344,-0.0273325,-0.000362948,-0.00156622,0.000953986,9.57666,-0.47096,-1.95232,0.236004,1.36438,-3.01212
6300,0,-0.943035,-0.833134,-0.674069,-0.00174973,0.014,7.51297e-06,-1.31108e-05,9.82449e-06,0.134062,-0.00646403,-0.0272943,0.000536641,-0.000936484,0.000701749,9.57585,-0.461716,-1.94959,0.236101,1.36439,-3.01203
6401,0,-0.943035,-0.833302,-0.674072,-0.00152621,0.014,2.36785e-06,-2.10802e-05,2.11487e-05,0.134029,-0.00660195,-0.0273248,0.000169132,-0.00150573,0.00151062,9.57352,-0.471568,-1.95177,0.236077,1.36439,-3.01205
6500,0,-0.943035,-0.833505,-0.674073,-0.00125053,0.014,2.40596e-07,-1.53323e-05,1.52349e-05,0.134072,-0.006512,-0.0273959,1.71854e-05,-0.00109516,0.0010882,9.57657,-0.465143,-1.95685,0.23597,1.36442,-3.01215
6600,0,-0.943035,-0.832911,-0.674061,0.00366686,0.014,-1.19194e-06,-8.27404e-06,1.24855e-05,0.134056,-0.0064459,-0.0275328,-8.51388e-05,-0.000591003,0.00089182,9.57545,-0.460421,-1.96663,0.235881,1.36442,-3.01223
6700,0,-0.943035,-0.835002,-0.674073,-0.00195832,0.014,-5.5598e-06,-1.36648e-05,1.12895e-05,0.134042,-0.00651917,-0.027477,-0.000397128,-0.000976059,0.000806396,9.57444,-0.465655,-1.96265,0.235885,1.36441,-3.01222
6800,0,-0.943035,-0.833453,-0.67406,0.00481799,0.014,-9.5076e-06,-2.63431e-05,2.06871e-05,0.134089,-0.00633349,-0.0274025,-0.000679114,-0.00188165,0.00147765,9.5778,-0.452392,-1.95732,0.235969,1.36441,-3.0121
6900,0,-0.943035,-0.833107,-0.674071,-0.000736417,0.014,-1.27699e-05,-2.62882e-05,3.02658e-05,0.134074,-0.00661862,-0.0273297,-0.000912137,-0.00187773,0.00216184,9.57673,-0.472759,-1.95212,0.235911,1.3644,-3.01215
7000,0,-0.943035,-0.833037,-0.674036,0.0156847,0.014,-3.6495e-06,-1.63805e-06,7.73123e-06,0.134037,-0.00661998,-0.0273926,-0.000260678,-0.000117003,0.000552231,9.57408,-0.472856,-1.95661,0.235975,1.36444,-3.01206
7100,0,-0.943035,-0.832775,-0.674067,-0.00190614,0.014,-8.52625e-06,-1.98858e-05,1.23307e-05,0.134118,-0.00630645,-0.0271417,-0.000609018,-0.00142041,0.000880762,9.57984,-0.450461,-1.93869,0.236014,1.36441,-3.01203
7200,0,-0.943035,-0.833571,-0.674056,0.00531347,0.014,1.7204e-05,-1.83189e-05,2.77184e-05,0.134094,-0.00676318,-0.0270428,0.00122886,-0.00130849,0.00197988,9.57814,-0.483085,-1.93163,0.236091,1.36442,-3.01197
7300,0,-0.943035,-0.832874,-0.674072,-0.0013548,0.014,-8.39108e-07,-2.09827e-05,9.87641e-06,0.134046,-0.00705171,-0.0271197,-5.99363e-05,-0.00149876,0.000705458,9.57474,-0.503694,-1.93712,0.236057,1.36443,-3.012
7400,0,-0.943035,-0.833193,-0.674061,0.00446039,0.014,3.3429e-06,3.86978e-07,7.00083e-06,0.134121,-0.00663122,-0.0269267,0.000238778,2.76413e-05,0.000500059,9.58008,-0.473659,-1.92334,0.236025,1.36444,-3.01202
7500,0,-0.943035,-0.833273,-0.674059,0.00259775,0.014,-5.70729e-07,-1.88236e-05,1.23253e-05,0.134006,-0.00637537,-0.0267445,-4.07664e-05,-0.00134454,0.000880381,9.57185,-0.455384,-1.91032,0.236123,1.36441,-3.01192
7600,0,-0.943035,-0.834671,-0.674068,-0.00236433,0.014,1.96002e-06,-2.79267e-05,2.49553e-05,0.134039,-0.00683249,-0.0269815,0.000140002,-0.00199477,0.00178252,9.57421,-0.488035,-1.92725,0.23607,1.36443,-3.01195
7700,0,-0.943035,-0.832981,-0.674064,-0.000494235,0.014,-7.21093e-06,-3.27813e-05,-4.8018e-06,0.134076,-0.00685066,-0.0271403,-0.000515066,-0.00234152,-0.000342986,9.57686,-0.489333,-1.9386,0.235868,1.36442,-3.01213
7800,0,-0.943035,-0.833434,-0.674058,0.00503038,0.014,-6.21359e-06,-1.00594e-05,6.98985e-06,0.134024,-0.00640838,-0.0270803,-0.000443828,-0.000718529,0.000499275,9.57317,-0.457742,-1.93431,0.23583,1.36441,-3.01217
7900,0,-0.943035,-0.833974,-0.67406,0.00430396,0.014,-5.82402e-06,-2.30127e-05,1.98053e-05,0.134023,-0.00651862,-0.0271897,-0.000416001,-0.00164377,0.00141466,9.57308,-0.465615,-1.94212,0.23587,1.36438,-3.01211
8000,0,-0.943035,-0.832982,-0.674073,-0.00259527,0.014,-7.69073e-06,-2.98417e-05,1.0932e-05,0.134041,-0.00680783,-0.027358,-0.000549338,-0.00213155,0.000780858,9.57433,-0.486273,-1.95414,0.235879,1.36439,-3.01214
8100,0,-0.943035,-0.833404,-0.674069,-0.000147753,0.014,-1.18939e-06,-2.40038e-05,1.05557e-05,0.134064,-0.00659679,-0.0272006,-8.49566e-05,-0.00171455,0.000753978,9.57599,-0.471199,-1.9429,0.235929,1.36441,-3.0121
8200,0,-0.943035,-0.833653,-0.674073,-0.0017906,0.014,7.82069e-06,-2.3823e-05,1.06886e-05,0.133982,-0.00636852,-0.0270645,0.00055862,-0.00170164,0.000763469,9.57016,-0.454895,-1.93318,0.235995,1.36439,-3.01201
8300,0,-0.943035,-0.833183,-0.674069,-0.000974757,0.014,5.56337e-06,-2.52839e-05,3.70123e-06,0.134102,-0.00660448,-0.0272112,0.000397384,-0.001806,0.000264374,9.57872,-0.471748,-1.94366,0.235883,1.36438,-3.01213
8400,0,-0.943035,-0.833419,-0.674066,-0.000956126,0.014,-2.93076e-06,-2.65808e-05,9.14026e-06,0.134114,-0.00676639,-0.027392,-0.00020934,-0.00189863,0.000652876,9.57959,-0.483314,-1.95657,0.2357,1.36442,-3.01233
8500,0,-0.943035,-0.834203,-0.674073,-0.000948673,0.014,6.19764e-07,-3.67442e-05,-3.83048e-06,0.133975,-0.00651245,-0.0273426,4.42688e-05,-0.00262458,-0.000273605,9.56961,-0.465175,-1.95304,0.235739,1.36438,-3.01232
8600,0,-0.943035,-0.83314,-0.674072,-0.00154099,0.014,-8.0988e-06,-2.0392e-05,1.21851e-05,0.134045,-0.00633625,-0.0274022,-0.000578486,-0.00145657,0.000870366,9.57464,-0.452589,-1.9573,0.235938,1.36441,-3.01213
8700,0,-0.943035,-0.833609,-0.674071,-0.00374636,0.014,3.62059e-06,-2.71879e-05,5.26401e-06,0.134056,-0.00658367,-0.0274194,0.000258614,-0.00194199,0.000376001,9.57543,-0.470262,-1.95853,0.235778,1.36443,-3.01228
8800,0,-0.943035,-0.832749,-0.674073,-0.00416731,0.014,-4.50616e-06,-2.41319e-05,1.04918e-05,0.134125,-0.00669879,-0.0272655,-0.000321869,-0.00172371,0.000749417,9.58034,-0.478485,-1.94753,0.235726,1.36447,-3.01231
8900,0,-0.943035,-0.83273,-0.67407,-0.00159312,0.014,-6.77478e-06,-2.05912e-05,-4.17777e-06,0.134048,-0.00661776,-0.0272565,-0.000483912,-0.0014708,-0.000298412,9.57483,-0.472697,-1.94689,0.235728,1.36447,-3.01231
9000,0,-0.943035,-0.834223,-0.674069,-0.00114981,0.014,-1.24752e-06,-1.79819e-05,1.76389e-05,0.134007,-0.00632474,-0.0273194,-8.91087e-05,-0.00128442,0.00125992,9.57193,-0.451767,-1.95139,0.235959,1.36445,-3.01206
9100,0,-0.943035,-0.833242,-0.674072,-0.00229719,0.014,-3.70564e-06,-1.94384e-05,2.03348e-05,0.1341,-0.0065054,-0.0273693,-0.000264689,-0.00138845,0.00145248,9.57857,-0.464672,-1.95495,0.235874,1.36446,-3.01215
9200,0,-0.943035,-0.83312,-0.674073,-0.000482968,0.014,-9.9745e-06,-1.8917e-05,1.04002e-05,0.134082,-0.00675103,-0.0275591,-0.000712464,-0.00135122,0.000742874,9.57729,-0.482216,-1.96851,0.235776,1.36446,-3.01227
9300,0,-0.943035,-0.834661,-0.674072,-0.00243874,0.014,5.63961e-06,-1.87842e-05,8.69973e-06,0.134013,-0.00642027,-0.027567,0.000402829,-0.00134173,0.000621409,9.57238,-0.458591,-1.96907,0.235764,1.36444,-3.0123
9400,0,-0.943035,-0.833612,-0.674066,0.000474441,0.014,-1.29238e-05,-2.22872e-05,1.94079e-05,0.133964,-0.00631685,-0.0274095,-0.000923132,-0.00159194,0.00138628,9.56885,-0.451203,-1.95782,0.235807,1.36441,-3.01222
9500,0,-0.943035,-0.833463,-0.674072,-0.00393258,0.014,-1.74137e-05,-3.34781e-05,2.46284e-05,0.134048,-0.00644364,-0.0274668,-0.00124383,-0.00239129,0.00175917,9.57485,-0.46026,-1.96192,0.235935,1.36442,-3.01209
9600,0,-0.943035,-0.833182,-0.674073,-0.000505303,0.014,-1.12465e-05,-2.74565e-05,8.81998e-06,0.134141,-0.00655727,-0.0275438,-0.000803319,-0.00196118,0.000629999,9.58153,-0.468376,-1.96741,0.235868,1.3644,-3.01212
9700,0,-0.943035,-0.832993,-0.674072,-0.00316516,0.014,9.7029e-06,-2.35366e-05,-2.55704e-06,0.134069,-0.00658793,-0.0272652,0.000693064,-0.00168118,-0.000182646,9.57635,-0.470566,-1.94751,0.235841,1.36439,-3.01218
9800,0,-0.943035,-0.832885,-0.674045,0.00722468,0.014,2.81468e-06,-6.76177e-06,1.31618e-05,0.133974,-0.00661831,-0.0273181,0.000201048,-0.000482984,0.00094013,9.56958,-0.472736,-1.95129,0.235859,1.36441,-3.01211
9900,0,-0.943035,-0.833834,-0.674057,0.00702352,0.014,-1.2832e-05,-2.90646e-05,1.49799e-05,0.134025,-0.00649484,-0.0273831,-0.000916575,-0.00207605,0.00106999,9.57324,-0.463917,-1.95594,0.235832,1.36442,-3.01211
10000,0,-0.943035,-0.833599,-0.674072,-0.00112369,0.014,2.56414e-06,-1.73325e-05,2.427e-05,0.134107,-0.00647491,-0.0274011,0.000183153,-0.00123803,0.00173357,9.57905,-0.462494,-1.95722,0.235939,1.36443,-3.01203
10100,0,-0.943035,-0.833247,-0.674063,0.00313805,0.014,-1.21758e-05,-2.20895e-05,2.12338e-05,0.134076,-0.00657522,-0.0275199,-0.000869699,-0.00157782,0.0015167,9.57687,-0.469658,-1.96571,0.235708,1.36444,-3.01224
10200,0,-0.943035,-0.833089,-0.674048,0.0100745,0.014,-1.25831e-05,-2.5958e-05,1.06232e-05,0.133971,-0.00645873,-0.0276642,-0.000898793,-0.00185414,0.000758801,9.56932,-0.461338,-1.97602,0.235699,1.36442,-3.01224
10300,0,-0.943035,-0.833905,-0.674073,-0.00154464,0.014,5.73781e-06,-1.76409e-05,6.28756e-06,0.133975,-0.00644816,-0.0275214,0.000409843,-0.00126006,0.000449112,9.56964,-0.460583,-1.96581,0.235717,1.3644,-3.0122
